Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Top-k approximate selection for typicality query results over spatio-textual data","Knowledge and Information Systems","","66","2","10.1007/s10115-023-02013-2","Xiangfu MengXiaoyan ZhangHongjin HuoQiangkui Leng","2024","http://link.springer.com/article/10.1007/s10115-023-02013-2","Article"
"ROS package search for robot software development: a knowledge graph-based approach","Frontiers of Computer Science","","19","6","10.1007/s11704-024-3660-9","Shuo WangXinjun MaoShuo YangMenghan WuZhang Zhang","2024","http://link.springer.com/article/10.1007/s11704-024-3660-9","Article"
"The role of large language models in agriculture: harvesting the future with LLM intelligence","Progress in Artificial Intelligence","","","","10.1007/s13748-024-00359-4","Tawseef Ayoub ShaikhTabasum RasoolK. VeningstonSyed Mufassir Yaseen","2024","http://link.springer.com/article/10.1007/s13748-024-00359-4","Article"
"A novel solution for the development of a sentimental analysis chatbot integrating ChatGPT","Personal and Ubiquitous Computing","","28","6","10.1007/s00779-024-01824-6","Filippo FlorindiPasquale FedeleGiovanna Maria Dimitri","2024","http://link.springer.com/article/10.1007/s00779-024-01824-6","Article"
"A novel attribute reduction method based on intuitionistic fuzzy three-way cognitive clustering","Applied Intelligence","","53","2","10.1007/s10489-022-03496-2","Xian-wei XinChun-lei ShiJing-bo SunZhan-ao XueJi-hua SongWei-ming Peng","2023","http://link.springer.com/article/10.1007/s10489-022-03496-2","Article"
"Lunar ground segmentation using a modified U-net neural network","Machine Vision and Applications","","35","3","10.1007/s00138-024-01533-3","Georgios PetrakisPanagiotis Partsinevelos","2024","http://link.springer.com/article/10.1007/s00138-024-01533-3","Article"
"Application of artificial intelligence technology in the field of orthopedics: a narrative review","Artificial Intelligence Review","","57","1","10.1007/s10462-023-10638-6","Pengran LiuJiayao ZhangSongxiang LiuTongtong HuoJiajun HeMingdi XueYing FangHonglin WangYi XieMao XieDan ZhangZhewei Ye","2024","http://link.springer.com/article/10.1007/s10462-023-10638-6","Article"
"An efficient resume skill extraction using deep feature-based AGT optimized K means clustering","Multimedia Tools and Applications","","83","25","10.1007/s11042-024-18220-0","J. Himabindu PriyankaNikhat Parveen","2024","http://link.springer.com/article/10.1007/s11042-024-18220-0","Article"
"A brief survey on recent advances in coreference resolution","Artificial Intelligence Review","","56","12","10.1007/s10462-023-10506-3","Ruicheng LiuRui MaoAnh Tuan LuuErik Cambria","2023","http://link.springer.com/article/10.1007/s10462-023-10506-3","Article"
"Emotion spreading carried by emoji in social network","Social Network Analysis and Mining","","13","1","10.1007/s13278-023-01144-2","Fuzhong NianXiaochen YangZheming Wang","2023","http://link.springer.com/article/10.1007/s13278-023-01144-2","Article"
"A survey on large language model based autonomous agents","Frontiers of Computer Science","","18","6","10.1007/s11704-024-40231-1","Lei WangChen MaXueyang FengZeyu ZhangHao YangJingsen ZhangZhiyuan ChenJiakai TangXu ChenYankai LinWayne Xin ZhaoZhewei WeiJirong Wen","2024","http://link.springer.com/article/10.1007/s11704-024-40231-1","Article"
"Attention-based efficient robot grasp detection network","Frontiers of Information Technology & Electronic Engineering","","24","10","10.1631/FITEE.2200502","Xiaofei Qin 秦晓飞Wenkai Hu 胡文凯Chen Xiao 肖晨Changxiang He 何常香Songwen Pei 裴颂文Xuedian Zhang 张学典","2023","http://link.springer.com/article/10.1631/FITEE.2200502","Article"
"Analyzing 40 years of educational technology trends: insights from advanced text mining and machine learning","Multimedia Tools and Applications","","","","10.1007/s11042-024-20294-9","Fatih Gurcan","2024","http://link.springer.com/article/10.1007/s11042-024-20294-9","Article"
"Cognitive motivations and foundations for building intelligent decision-making systems","Artificial Intelligence Review","","56","4","10.1007/s10462-022-10255-9","Zdzisław KowalczukMichał Czubenko","2023","http://link.springer.com/article/10.1007/s10462-022-10255-9","Article"
"Lexeme connexion measure of cohesive lexical ambiguity revealing factor: a robust approach for word sense disambiguation of Bengali text","Multimedia Tools and Applications","","83","5","10.1007/s11042-023-14676-8","Debapratim Das DawnAbhinandan KhanSoharab Hossain ShaikhRajat Kumar Pal","2024","http://link.springer.com/article/10.1007/s11042-023-14676-8","Article"
